DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Österreich,2024,9158750,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Belgien,2024,11817096,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Bulgarien,2024,6445481,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Zypern,2024,966365,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Tschechien,2024,10900555,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Deutschland,2024,83456045,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Dänemark,2024,5961249,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Estland,2024,1374687,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Griechenland,2024,10400720,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Spanien,2024,48619695,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Finnland,2024,5603851,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Frankreich,2024,68467362,p,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Kroatien,2024,3861967,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Ungarn,2024,9584627,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Irland,2024,5351681,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Italien,2024,58971230,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Litauen,2024,2885891,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Luxemburg,2024,672050,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Lettland,2024,1875316,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Malta,2024,563443,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Niederlande,2024,17942942,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Polen,2024,36620970,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Portugal,2024,10639726,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Rumänien,2024,19067576,e,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Schweden,2024,10551707,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Slowenien,2024,2123949,,
ESTAT:TPS00001(1.0),11/07/25 11:00:00,Jährlich,Bevölkerung am 1. Januar - insgesamt,Slowakei,2024,5424687,,
